Package,Name,Version,Architecture
AXJ,AXJ爱新机破解版,8.0.0-50,iphoneos-arm
cn.lenglengyu.antitracker,AntiTracker(查岗报警器)破解版,2.0.4,iphoneos-arm
cn.lenglengyu.antitracker-rootless,AntiTracker(查岗报警器)破解版-Rootless,2.0.2K,iphoneos-arm64
cn.lenglengyu.tinyapps.xgpspro,Fake GPS Pro(定位修改器)破解版,4.6.7,iphoneos-arm
cn.lenglengyu.tinyapps.xgpspro-rootless,Fake GPS Pro(定位修改器)破解版-Rootless,4.6.7,iphoneos-arm64e
com.erik.applockerpro.rootless,App加锁助手(App Locker).rootless,7.1.0,iphoneos-arm64
com.kurrt.gump,Gump破解版,2.0.0-1,iphoneos-arm
com.lenglengyu.168qdspro,168轻断食【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.168qdspro-rootless,168轻断食-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.1998campro,1998 Cam【会员破解】,0.0.4,iphoneos-arm
com.lenglengyu.1blockerpro,1Blocker - 广告拦截【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.1blockerpro-rootless,1Blocker-广告拦截-Rootless【会员破解】,0.0.2,iphoneos-arm64e
com.lenglengyu.1pswidgetspro,1PS Widgets-万能小组件【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.30dayfitnesspro,30天健身减肥【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.30dayfitnesspro-rootless,30天健身减肥-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.7dongpro,7动【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.7dongpro-rootless,7动-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.addonspro,Addons-浏览器扩展广告拦截【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.addonspro-rootless,Addons浏览器扩展-Rootless【会员破解】,0.0.2,iphoneos-arm64e
com.lenglengyu.adguardpro,AdGuard广告拦截【高级版】,0.0.2,iphoneos-arm
com.lenglengyu.adguardpro-rootless,AdGuard广告拦截-Rootless【高级版】,0.0.2,iphoneos-arm64
com.lenglengyu.adictpro,aDict【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.adictpro-rootless,aDict-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.afakerxi-rootless,AFakerXI-Rootless,1.0.3,iphoneos-arm64e
com.lenglengyu.afterlightpro,Afterlight-图片编辑器【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.aibianjipro,爱编辑【会员破解】,0.0.1K,iphoneos-arm
com.lenglengyu.aibizhipro,爱壁纸【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.aifacepro,AI换脸秀【会员破解】,0.0.6,iphoneos-arm
com.lenglengyu.aifacepro-rootless,AI换脸秀-Rootless【会员破解】,0.0.6,iphoneos-arm64e
com.lenglengyu.aihlbzpro,AI换脸变装【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aihlbzpro-rootless,AI换脸变装-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aihuihuatxpro,AI头像馆【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aihuihuatxpro-rootless,AI头像馆-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aijianjipro,爱剪辑【订阅破解】,0.0.2,iphoneos-arm
com.lenglengyu.aijianjipro-rootless,爱剪辑-Rootless【订阅破解】,0.0.2K,iphoneos-arm64e
com.lenglengyu.airbrushpro,AirBrush【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.airbrushpro-rootless,AirBrush-Rootless【会员破解】,0.0.2,iphoneos-arm64e
com.lenglengyu.airbrushvideopro,AirBrush Video【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.airbrushvideopro-rootless,AirBrush Video-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aishandongnojb,爱山东【屏蔽越狱】,0.0.1,iphoneos-arm
com.lenglengyu.aituhuihuapro,爱涂绘画-AI绘画【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aituhuihuapro-rootless,爱涂绘画 AI绘画-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aixiaochubipro,AI消除笔【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aixiaochubipro-rootless,AI消除笔-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aiyufapro,爱语法【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aiyufapro-rootless,爱语法-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aizimupro,爱字幕【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aizuoyepro,爱作业【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aizuoyepro-rootless,爱作业-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.alarmypro,使命闹钟-Alarmy【会员破解】,0.0.3,iphoneos-arm
com.lenglengyu.alarmypro-rootless,使命闹钟-Alarmy-Rootless【会员破解】,0.0.3,iphoneos-arm64e
com.lenglengyu.albumcompress,视频照片压缩大师Pro,0.0.1,iphoneos-arm
com.lenglengyu.albummanager,相册整理Pro,0.0.1,iphoneos-arm
com.lenglengyu.alicloudgeturl,阿里云盘获取直链和Token,2.0.2,iphoneos-arm
com.lenglengyu.allroundtoolspro,小工具集-图片音视频下载【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.allroundtoolspro-rootless,小工具集-图片音视频下载-Rootless【会员破解】,0.0.1K,iphoneos-arm64e
com.lenglengyu.alohapro,aloha浏览器Pro,0.0.1,iphoneos-arm
com.lenglengyu.answeringmachinex,AnsweringMachine XS破解版 (iOS 11 to 16),2.0-17K,iphoneos-arm
com.lenglengyu.answeringmachinex-rootless,AnsweringMachine XS破解版-Rootless (iOS 11 to 16),2.0-2K,iphoneos-arm64
com.lenglengyu.anydownpro,AnyDown下载神器【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.anydownpro-rootless,AnyDown下载神器-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.aoruanpdfpro,傲软PDF编辑【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.aphroditepro,Aphrodite【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aphroditepro-rootless,Aphrodite-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.apollopro,Apollo【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.apollopro-rootless,Apollo-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.apphider-rootless,AppHider-Rootless【应用隐藏】,0.0.6,iphoneos-arm64
com.lenglengyu.applockerhook,App加锁助手【破解版】,7.1.0,iphoneos-arm
com.lenglengyu.appsyncunified,AppSync Unified 关闭签名,106.0,iphoneos-arm
com.lenglengyu.aptvpro,APTV【会员破解】,0.0.4,iphoneos-arm
com.lenglengyu.aptvpro-rootless,APTV-Rootless【会员破解】,0.0.4,iphoneos-arm64e
com.lenglengyu.aquaboardx,AquaBoard XS破解版 (iOS 11 to 16),2.0-58K,iphoneos-arm
com.lenglengyu.aquaboardx-rootless,AquaBoard XS破解版-Rootless (iOS 11 to 16),2.0-3K,iphoneos-arm64
com.lenglengyu.arkoutupro,傲软抠图【会员破解】,0.0.3,iphoneos-arm
com.lenglengyu.arkoutupro-rootless,傲软抠图-Rootless【会员破解】,0.0.3,iphoneos-arm64e
com.lenglengyu.arsaomiaopro,傲软扫描Pro,0.0.1,iphoneos-arm
com.lenglengyu.artshowpro,Art Show-漫画滤镜【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.artshowpro-rootless,Art Show-漫画滤镜-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.artstudiopro,Artstudio Pro【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.artstudiopro-rootless,Artstudio Pro-Rootless【会员破解】,0.0.1,iphoneos-arm64e
com.lenglengyu.audioextractorpro,音频提取器【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.audioextractorpro-rootless,音频提取器-Rootless【会员破解】,0.0.1K,iphoneos-arm64e
com.lenglengyu.audioextractpro,音频提取器【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.audiomack,Audiomack【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.audiomack-rootless,Audiomack-Rootless【会员破解】,0.0.2,iphoneos-arm64e
com.lenglengyu.audiorecorderxs,AudioRecorder XS (iOS 12 to 16)破解版,5.0-17K,iphoneos-arm
com.lenglengyu.audiorecorderxs-rootless,AudioRecorder XS-Rootless (iOS 12 to 16)破解版,5.0-5K,iphoneos-arm64
com.lenglengyu.audiototexthook,录音转文字Pro,0.0.1,iphoneos-arm
com.lenglengyu.autoanswerx,AutoAnswer XS破解版 (iOS 11 to 16),2.0-14,iphoneos-arm
com.lenglengyu.autoanswerx-rootless,AutoAnswer XS破解版-Rootless (iOS 11 to 16),2.0-2K,iphoneos-arm64
com.lenglengyu.autobrightcc-rootless,AutoBrightCC-Rootless,1.0.0,iphoneos-arm64
com.lenglengyu.autoeditpro,小影记Pro,0.0.1,iphoneos-arm
com.lenglengyu.autowebpro,AutoWeb-网页变动检测【会员破解】,0.0.2,iphoneos-arm
com.lenglengyu.autowebpro-rootless,AutoWeb-网页变动检测-Rootless【会员破解】,0.0.2,iphoneos-arm64e
com.lenglengyu.avodpro,AVOD-文件管理&视频嗅探【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.aysxhook,爱阅书香【会员破解】,2.0.5,iphoneos-arm
com.lenglengyu.aysxhook-rootless,爱阅书香-Rootless【会员破解】,2.0.4,iphoneos-arm64
com.lenglengyu.b612kajipro,B612咔叽【会员破解】,0.0.1,iphoneos-arm
com.lenglengyu.b612kajipro-rootless,B612咔叽-Rootless【会员破解】,0.0.1K,iphoneos-arm64e
com.lenglengyu.badatongnojb,Octopus-八达通【屏蔽越狱】,0.0.1,iphoneos-arm
